Name,Team,Deviation,Over Percentage,Under Percentage,Over w/ Push,Under w/ Push,Games,Insight,Line,Type,Opponent,Rank,StatPerGame,Player Link
Terry McLaurin,WAS,0.16,33.33%,33.33%,66.67%,66.67%,15,N/A,4.0,Receptions,PHI,N/A,None,https://www.pro-football-reference.com/players/M/McLaTe00.htm,https://www.pro-football-reference.com/teams/was/2021.htm
DeVonta Smith,PHI,0.07,40.0%,46.67%,53.33%,60.0%,15,N/A,4.0,Receptions,WAS,N/A,None,https://www.pro-football-reference.com/players/S/SmitDe07.htm,https://www.pro-football-reference.com/teams/phi/2021.htm
Adam Humphries,WAS,0.29,20.0%,60.0%,40.0%,80.0%,15,N/A,3.0,Receptions,PHI,N/A,None,https://www.pro-football-reference.com/players/H/HumpAd00.htm,https://www.pro-football-reference.com/teams/was/2021.htm
Braxton Berrios,NYJ,0.89,26.67%,73.33%,26.67%,73.33%,15,N/A,4.5,Receptions,TAM,N/A,None,https://www.pro-football-reference.com/players/B/BerrBr00.htm,https://www.pro-football-reference.com/teams/nyj/2021.htm
Rob Gronkowski,TAM,0.16,40.0%,60.0%,40.0%,60.0%,10,N/A,4.5,Receptions,NYJ,N/A,None,https://www.pro-football-reference.com/players/G/GronRo00.htm,https://www.pro-football-reference.com/teams/tam/2021.htm
Keelan Cole,NYJ,0.9,7.69%,76.92%,23.08%,92.31%,13,N/A,3.0,Receptions,TAM,N/A,None,https://www.pro-football-reference.com/players/C/ColeKe00.htm,https://www.pro-football-reference.com/teams/nyj/2021.htm
Jaylen Waddle,MIA,0.12,57.14%,42.86%,57.14%,42.86%,14,N/A,6.5,Receptions,TEN,N/A,None,https://www.pro-football-reference.com/players/W/WaddJa00.htm,https://www.pro-football-reference.com/teams/mia/2021.htm
A.J. Brown,TEN,0.09,36.36%,63.64%,36.36%,63.64%,11,N/A,5.5,Receptions,MIA,N/A,None,https://www.pro-football-reference.com/players/B/BrowAJ00.htm,https://www.pro-football-reference.com/teams/oti/2021.htm
Mike Gesicki,MIA,0.17,46.67%,40.0%,60.0%,53.33%,15,N/A,4.0,Receptions,TEN,N/A,None,https://www.pro-football-reference.com/players/G/GesiMi00.htm,https://www.pro-football-reference.com/teams/mia/2021.htm
D.J. Moore,CAR,0.34,46.67%,26.67%,73.33%,53.33%,15,N/A,5.0,Receptions,NOR,N/A,None,https://www.pro-football-reference.com/players/M/MoorD.00.htm,https://www.pro-football-reference.com/teams/car/2021.htm
Robby Anderson,CAR,0.29,33.33%,66.67%,33.33%,66.67%,15,N/A,3.5,Receptions,NOR,N/A,None,https://www.pro-football-reference.com/players/A/AndeRo04.htm,https://www.pro-football-reference.com/teams/car/2021.htm

Tom Brady,TAM,0.02,40.0%,60.0%,40.0%,60.0%,15,N/A,2.5,Pass TDs,NYJ,16,1.64,https://www.pro-football-reference.com/players/B/BradTo00.htm,https://www.pro-football-reference.com/teams/tam/2021.htm
Kyler Murray,ARI,0.17,50.0%,50.0%,50.0%,50.0%,12,N/A,1.5,Pass TDs,DAL,6,1.43,https://www.pro-football-reference.com/players/M/MurrKy00.htm,https://www.pro-football-reference.com/teams/crd/2021.htm

Tyreek Hill,KAN,0.11,40.0%,60.0%,40.0%,60.0%,15,N/A,0.5,Rec TDs,CIN,13,1.57,https://www.pro-football-reference.com/players/H/HillTy00.htm,https://www.pro-football-reference.com/teams/kan/2021.htm
Travis Kelce,KAN,0.0,35.71%,64.29%,35.71%,64.29%,14,N/A,0.5,Rec TDs,CIN,13,1.57,https://www.pro-football-reference.com/players/K/KelcTr00.htm,https://www.pro-football-reference.com/teams/kan/2021.htm
Antonio Brown,TAM,0.2,50.0%,50.0%,50.0%,50.0%,6,N/A,0.5,Rec TDs,NYJ,16,1.64,https://www.pro-football-reference.com/players/B/BrowAn04.htm,https://www.pro-football-reference.com/teams/tam/2021.htm
Stefon Diggs,BUF,0.16,53.33%,46.67%,53.33%,46.67%,15,N/A,0.5,Rec TDs,ATL,28,2.0,https://www.pro-football-reference.com/players/D/DiggSt00.htm,https://www.pro-football-reference.com/teams/buf/2021.htm

Patrick Mahomes,KAN,0.01,46.67%,53.33%,46.67%,53.33%,15,N/A,25.5,Pass Completions,CIN,N/A,None,https://www.pro-football-reference.com/players/M/MahoPa00.htm,https://www.pro-football-reference.com/teams/kan/2021.htm
Joe Burrow,CIN,0.46,20.0%,66.67%,33.33%,80.0%,15,N/A,25.0,Pass Completions,KAN,N/A,None,https://www.pro-football-reference.com/players/B/BurrJo01.htm,https://www.pro-football-reference.com/teams/cin/2021.htm
Jalen Hurts,PHI,0.11,42.86%,50.0%,50.0%,57.14%,14,N/A,17.0,Pass Completions,WAS,N/A,None,https://www.pro-football-reference.com/players/H/HurtJa00.htm,https://www.pro-football-reference.com/teams/phi/2021.htm
Taylor Heinicke,WAS,0.31,64.29%,35.71%,64.29%,35.71%,14,N/A,18.0,Pass Completions,PHI,N/A,None,https://www.pro-football-reference.com/players/H/HeinTa00.htm,https://www.pro-football-reference.com/teams/was/2021.htm
Tom Brady,TAM,0.56,66.67%,33.33%,66.67%,33.33%,15,N/A,24.5,Pass Completions,NYJ,N/A,None,https://www.pro-football-reference.com/players/B/BradTo00.htm,https://www.pro-football-reference.com/teams/tam/2021.htm
Zach Wilson,NYJ,0.31,63.64%,36.36%,63.64%,36.36%,11,N/A,18.5,Pass Completions,TAM,N/A,None,https://www.pro-football-reference.com/players/W/WilsZa00.htm,https://www.pro-football-reference.com/teams/nyj/2021.htm
Matt Ryan,ATL,0.8,93.33%,6.67%,93.33%,6.67%,15,N/A,17.5,Pass Completions,BUF,N/A,None,https://www.pro-football-reference.com/players/R/RyanMa00.htm,https://www.pro-football-reference.com/teams/atl/2021.htm
Ryan Tannehill,TEN,0.24,53.33%,40.0%,60.0%,46.67%,15,N/A,20.0,Pass Completions,MIA,N/A,None,https://www.pro-football-reference.com/players/T/TannRy00.htm,https://www.pro-football-reference.com/teams/oti/2021.htm
Taysom Hill,NOR,1.59,10.0%,90.0%,10.0%,90.0%,10,N/A,17.0,Pass Completions,CAR,N/A,None,https://www.pro-football-reference.com/players/H/HillTa00.htm,https://www.pro-football-reference.com/teams/nor/2021.htm

Joe Burrow,CIN,0.45,60.0%,40.0%,60.0%,40.0%,15,N/A,0.5,INT,KAN,10,1.07,https://www.pro-football-reference.com/players/B/BurrJo01.htm,https://www.pro-football-reference.com/teams/cin/2021.htm
Jalen Hurts,PHI,0.15,42.86%,57.14%,42.86%,57.14%,14,N/A,0.5,INT,WAS,21,0.64,https://www.pro-football-reference.com/players/H/HurtJa00.htm,https://www.pro-football-reference.com/teams/phi/2021.htm
Matthew Stafford,LAR,0.4,60.0%,40.0%,60.0%,40.0%,15,N/A,0.5,INT,BAL,27,0.43,https://www.pro-football-reference.com/players/S/StafMa00.htm,https://www.pro-football-reference.com/teams/ram/2021.htm
Ryan Tannehill,TEN,0.39,60.0%,40.0%,60.0%,40.0%,15,N/A,0.5,INT,MIA,13,0.93,https://www.pro-football-reference.com/players/T/TannRy00.htm,https://www.pro-football-reference.com/teams/oti/2021.htm
Justin Herbert,LAC,0.54,66.67%,33.33%,66.67%,33.33%,15,N/A,0.5,INT,DEN,13,0.93,https://www.pro-football-reference.com/players/H/HerbJu00.htm,https://www.pro-football-reference.com/teams/sdg/2021.htm

