Name,Team,Deviation,Over Percentage,Under Percentage,Over w/ Push,Under w/ Push,Games,Insight,Line,Type,Opponent,Rank,StatPerGame,Player Link
Taylor Heinicke,WAS,0.46,64.29%,35.71%,64.29%,35.71%,14,N/A,9.5,Rush Yards,PHI,9,112.07,https://www.pro-football-reference.com/players/H/HeinTa00.htm,https://www.pro-football-reference.com/teams/was/2021.htm
Jaret Patterson,WAS,2.13,6.67%,93.33%,6.67%,93.33%,15,N/A,43.5,Rush Yards,PHI,9,112.07,https://www.pro-football-reference.com/players/P/PattJa01.htm,https://www.pro-football-reference.com/teams/was/2021.htm
Zach Wilson,NYJ,0.08,27.27%,72.73%,27.27%,72.73%,11,N/A,12.5,Rush Yards,TAM,3,93.79,https://www.pro-football-reference.com/players/W/WilsZa00.htm,https://www.pro-football-reference.com/teams/nyj/2021.htm
Michael Carter,NYJ,0.39,75.0%,25.0%,75.0%,25.0%,12,N/A,35.5,Rush Yards,TAM,3,93.79,https://www.pro-football-reference.com/players/C/CartMi03.htm,https://www.pro-football-reference.com/teams/nyj/2021.htm
Ronald Jones II,TAM,1.46,20.0%,80.0%,20.0%,80.0%,15,N/A,58.5,Rush Yards,NYJ,30,151.36,https://www.pro-football-reference.com/players/J/JoneRo01.htm,https://www.pro-football-reference.com/teams/tam/2021.htm
Sony Michel,LAR,0.41,33.33%,66.67%,33.33%,66.67%,15,N/A,65.5,Rush Yards,BAL,1,91.71,https://www.pro-football-reference.com/players/M/MichSo00.htm,https://www.pro-football-reference.com/teams/ram/2021.htm
Josh Jacobs,LVR,0.21,23.08%,76.92%,23.08%,76.92%,13,N/A,58.5,Rush Yards,IND,14,119.14,https://www.pro-football-reference.com/players/J/JacoJo01.htm,https://www.pro-football-reference.com/teams/rai/2021.htm
Jonathan Taylor,IND,0.04,53.33%,46.67%,53.33%,46.67%,15,N/A,106.5,Rush Yards,LVR,19,124.0,https://www.pro-football-reference.com/players/T/TaylJo02.htm,https://www.pro-football-reference.com/teams/clt/2021.htm
Josh Allen,BUF,0.53,66.67%,33.33%,66.67%,33.33%,15,N/A,27.5,Rush Yards,ATL,22,129.57,https://www.pro-football-reference.com/players/A/AlleJo02.htm,https://www.pro-football-reference.com/teams/buf/2021.htm
Cordarrelle Patterson,ATL,0.17,42.86%,57.14%,42.86%,57.14%,14,N/A,36.5,Rush Yards,BUF,17,123.0,https://www.pro-football-reference.com/players/P/PattCo00.htm,https://www.pro-football-reference.com/teams/atl/2021.htm
Devin Singletary,BUF,0.24,33.33%,66.67%,33.33%,66.67%,15,N/A,50.5,Rush Yards,ATL,22,129.57,https://www.pro-football-reference.com/players/S/SingDe00.htm,https://www.pro-football-reference.com/teams/buf/2021.htm
Ryan Tannehill,TEN,0.15,60.0%,40.0%,60.0%,40.0%,15,N/A,15.5,Rush Yards,MIA,7,109.64,https://www.pro-football-reference.com/players/T/TannRy00.htm,https://www.pro-football-reference.com/teams/oti/2021.htm
D'Onta Foreman,TEN,0.07,28.57%,71.43%,28.57%,71.43%,7,N/A,49.5,Rush Yards,MIA,7,109.64,https://www.pro-football-reference.com/players/F/ForeDO00.htm,https://www.pro-football-reference.com/teams/oti/2021.htm
Duke Johnson,MIA,0.5,66.67%,33.33%,66.67%,33.33%,3,N/A,31.5,Rush Yards,TEN,2,92.86,https://www.pro-football-reference.com/players/J/JohnDu00.htm,https://www.pro-football-reference.com/teams/mia/2021.htm
