"Name","Team","Prop Name","Prop Type","Prop Line","Prop Odds","Projection","Expected Win","Expected ROI","Note"
"Mecole Hardman","KC","Receptions","Over","2.50","144.00","2.35","44 %","6.0","Shop Odds @ OddsShopper"
"Austin Ekeler","LAC","Receptions","Under","4.50","-141.00","4.23","62 %","6.0","Shop Odds @ OddsShopper"
"Michael Pittman Jr.","IND","Receptions","Over","4.50","-102.00","4.95","54 %","6.0","Shop Odds @ OddsShopper"
"Kendrick Bourne","NE","Receptions","Under","3.50","-135.00","3.23","61 %","6.0","Shop Odds @ OddsShopper"
"Laviska Shenault Jr.","JAX","Receptions","Over","3.50","-118.00","4.01","57 %","5.0","Shop Odds @ OddsShopper"
"Amon-Ra St. Brown","DET","Receptions","Over","4.50","-154.00","5.46","63 %","4.0","Shop Odds @ OddsShopper"
"Julio Jones","TEN","Receptions","Under","4.50","-145.00","4.03","62 %","4.0","Shop Odds @ OddsShopper"
"Diontae Johnson","PIT","Receptions","Under","7.50","-190.00","6.43","68 %","4.0","Shop Odds @ OddsShopper"
"Mike Williams","LAC","Receptions","Over","4.50","124.00","4.86","47 %","4.0","Shop Odds @ OddsShopper"
"Najee Harris","PIT","Receptions","Over","3.50","-136.00","4.12","59 %","3.0","Shop Odds @ OddsShopper"
"Cole Beasley","BUF","Receptions","Over","4.50","-123.00","5.05","57 %","3.0","Shop Odds @ OddsShopper"
"Russell Gage","ATL","Receptions","Under","5.50","-190.00","4.81","68 %","3.0","Shop Odds @ OddsShopper"
"Rob Gronkowski","TB","Receptions","Over","4.50","-130.00","5.00","58 %","3.0","Shop Odds @ OddsShopper"
"Darrel Williams","KC","Receptions","Over","2.50","-104.00","2.70","53 %","3.0","Shop Odds @ OddsShopper"
"Brandon Bolden","NE","Receptions","Under","3.50","-135.00","3.30","59 %","3.0","Shop Odds @ OddsShopper"
"Tre'Quan Smith","NO","Receptions","Under","3.50","-180.00","3.10","66 %","2.0","Shop Odds @ OddsShopper"
"Mike Evans","TB","Receptions","Over","4.50","-105.00","4.71","52 %","2.0","Shop Odds @ OddsShopper"
"Keenan Allen","LAC","Receptions","Under","6.50","105.00","7.16","50 %","2.0","Shop Odds @ OddsShopper"
"Zach Pascal","IND","Receptions","Over","2.50","110.00","2.64","49 %","2.0","Shop Odds @ OddsShopper"
"Saquon Barkley","NYG","Receptions","Over","3.50","105.00","3.67","49 %","1.0","Shop Odds @ OddsShopper"
"Marquez Callaway","NO","Receptions","Over","2.50","-111.00","2.94","53 %","1.0","Shop Odds @ OddsShopper"
"Tyreek Hill","KC","Receptions","Under","6.50","105.00","6.51","49 %","1.0","Shop Odds @ OddsShopper"
"Joshua Palmer","LAC","Receptions","Under","1.50","-130.00","1.65","57 %","1.0","Shop Odds @ OddsShopper"
"Geoff Swaim","TEN","Receptions","Under","2.50","-149.00","2.32","60 %","0.0","Shop Odds @ OddsShopper"
"George Kittle","SF","Receptions","Over","5.50","-115.00","5.84","54 %","0.0","Shop Odds @ OddsShopper"
"Jerry Jeudy","DEN","Receptions","Under","4.50","-130.00","4.26","57 %","0.0","Shop Odds @ OddsShopper"
"Demarcus Robinson","KC","Receptions","Under","1.50","-120.00","1.47","55 %","0.0","Shop Odds @ OddsShopper"
"Jonathan Taylor","IND","Receptions","Under","3.50","-210.00","2.86","68 %","0.0","Shop Odds @ OddsShopper"
"Laquon Treadwell","JAX","Receptions","Under","3.50","-180.00","3.01","64 %","-1.0","Shop Odds @ OddsShopper"
"Brandin Cooks","HOU","Receptions","Over","4.50","-149.00","5.50","59 %","-1.0","Shop Odds @ OddsShopper"
"Kendrick Bourne","NE","Receptions","Over","2.50","-166.00","3.23","62 %","-1.0","Shop Odds @ OddsShopper"
"Geoff Swaim","TEN","Receptions","Over","2.50","144.00","2.32","40 %","-2.0","Shop Odds @ OddsShopper"
"Gabriel Davis","BUF","Receptions","Over","3.50","110.00","3.51","47 %","-2.0","Shop Odds @ OddsShopper"
"Noah Fant","DEN","Receptions","Over","3.50","114.00","3.57","46 %","-2.0","Shop Odds @ OddsShopper"
"Alvin Kamara","NO","Receptions","Under","4.50","-150.00","4.42","59 %","-2.0","Shop Odds @ OddsShopper"
"Amon-Ra St. Brown","DET","Receptions","Under","5.50","-125.00","5.46","54 %","-3.0","Shop Odds @ OddsShopper"
"Cole Beasley","BUF","Receptions","Under","5.50","-180.00","5.05","62 %","-3.0","Shop Odds @ OddsShopper"
"Stefon Diggs","BUF","Receptions","Over","5.50","-149.00","6.13","58 %","-3.0","Shop Odds @ OddsShopper"
"A.J. Green","ARI","Receptions","Under","3.50","110.00","3.91","46 %","-4.0","Shop Odds @ OddsShopper"
"Ezekiel Elliott","DAL","Receptions","Under","2.50","114.00","2.85","45 %","-4.0","Shop Odds @ OddsShopper"
"Noah Fant","DEN","Receptions","Under","3.50","-130.00","3.57","54 %","-4.0","Shop Odds @ OddsShopper"
"Najee Harris","PIT","Receptions","Under","4.50","-180.00","4.12","61 %","-5.0","Shop Odds @ OddsShopper"
"Tre'Quan Smith","NO","Receptions","Over","2.50","-149.00","3.10","57 %","-5.0","Shop Odds @ OddsShopper"
"Alvin Kamara","NO","Receptions","Over","4.50","130.00","4.42","41 %","-5.0","Shop Odds @ OddsShopper"
"Tyreek Hill","KC","Receptions","Over","6.50","-115.00","6.51","51 %","-5.0","Shop Odds @ OddsShopper"
"Mecole Hardman","KC","Receptions","Under","2.50","-145.00","2.35","56 %","-5.0","Shop Odds @ OddsShopper"
"Tyler Boyd","CIN","Receptions","Over","3.50","-146.00","3.96","56 %","-6.0","Shop Odds @ OddsShopper"
"Brandon Bolden","NE","Receptions","Over","3.50","130.00","3.30","41 %","-6.0","Shop Odds @ OddsShopper"
"Ezekiel Elliott","DAL","Receptions","Over","2.50","-146.00","2.85","55 %","-7.0","Shop Odds @ OddsShopper"
"George Kittle","SF","Receptions","Under","5.50","100.00","5.84","46 %","-7.0","Shop Odds @ OddsShopper"
"Tyler Boyd","CIN","Receptions","Under","4.50","-225.00","3.96","65 %","-7.0","Shop Odds @ OddsShopper"
"Marquez Callaway","NO","Receptions","Under","3.50","-275.00","2.94","68 %","-7.0","Shop Odds @ OddsShopper"
"Keenan Allen","LAC","Receptions","Over","6.50","-118.00","7.16","50 %","-7.0","Shop Odds @ OddsShopper"
"Mike Williams","LAC","Receptions","Under","4.50","-135.00","4.86","53 %","-7.0","Shop Odds @ OddsShopper"
"Christian Kirk","ARI","Receptions","Under","4.50","107.00","5.04","44 %","-8.0","Shop Odds @ OddsShopper"
"Laquon Treadwell","JAX","Receptions","Over","2.50","-162.00","3.01","57 %","-8.0","Shop Odds @ OddsShopper"
"Mike Evans","TB","Receptions","Under","5.50","-225.00","4.71","64 %","-8.0","Shop Odds @ OddsShopper"
"Byron Pringle","KC","Receptions","Under","2.50","-130.00","2.70","52 %","-8.0","Shop Odds @ OddsShopper"
"Joshua Palmer","LAC","Receptions","Over","1.50","115.00","1.65","43 %","-8.0","Shop Odds @ OddsShopper"
"Saquon Barkley","NYG","Receptions","Under","3.50","-125.00","3.67","51 %","-9.0","Shop Odds @ OddsShopper"
"Gabriel Davis","BUF","Receptions","Under","3.50","-141.00","3.51","54 %","-9.0","Shop Odds @ OddsShopper"
"Jerry Jeudy","DEN","Receptions","Over","4.50","110.00","4.26","43 %","-9.0","Shop Odds @ OddsShopper"
"A.J. Green","ARI","Receptions","Over","3.50","-150.00","3.91","54 %","-10.0","Shop Odds @ OddsShopper"
"Russell Gage","ATL","Receptions","Over","4.50","-125.00","4.81","50 %","-10.0","Shop Odds @ OddsShopper"
"Kyle Pitts","ATL","Receptions","Over","3.50","-135.00","4.00","52 %","-10.0","Shop Odds @ OddsShopper"
"Rob Gronkowski","TB","Receptions","Under","5.50","-180.00","5.00","58 %","-10.0","Shop Odds @ OddsShopper"
"Darrel Williams","KC","Receptions","Under","2.50","-113.00","2.70","48 %","-10.0","Shop Odds @ OddsShopper"
"Jonathan Taylor","IND","Receptions","Over","2.50","-145.00","2.86","53 %","-10.0","Shop Odds @ OddsShopper"
"Brandin Cooks","HOU","Receptions","Under","5.50","-160.00","5.50","55 %","-11.0","Shop Odds @ OddsShopper"
"Ja'Marr Chase","CIN","Receptions","Over","4.50","-115.00","4.61","48 %","-11.0","Shop Odds @ OddsShopper"
"Zach Pascal","IND","Receptions","Under","2.50","-135.00","2.64","51 %","-11.0","Shop Odds @ OddsShopper"
"Albert Wilson","MIA","Receptions","Under","3.50","-135.00","3.59","51 %","-12.0","Shop Odds @ OddsShopper"
"Kenny Golladay","NYG","Receptions","Over","2.50","-161.00","2.88","53 %","-14.0","Shop Odds @ OddsShopper"
"DeVante Parker","MIA","Receptions","Under","5.50","-156.00","5.31","53 %","-14.0","Shop Odds @ OddsShopper"
"Cordarrelle Patterson","ATL","Receptions","Under","3.50","-145.00","3.65","51 %","-14.0","Shop Odds @ OddsShopper"
"Demarcus Robinson","KC","Receptions","Over","1.50","-110.00","1.47","45 %","-14.0","Shop Odds @ OddsShopper"
"Nick Westbrook-Ikhine","TEN","Receptions","Under","3.50","-175.00","3.48","54 %","-15.0","Shop Odds @ OddsShopper"
"James Robinson","JAX","Receptions","Under","3.50","-200.00","3.29","57 %","-15.0","Shop Odds @ OddsShopper"
"Dalton Schultz","DAL","Receptions","Under","3.50","105.00","4.01","41 %","-15.0","Shop Odds @ OddsShopper"
"Amari Cooper","DAL","Receptions","Under","4.50","-149.00","4.62","51 %","-15.0","Shop Odds @ OddsShopper"
"Hunter Henry","NE","Receptions","Under","2.50","-113.00","2.93","45 %","-15.0","Shop Odds @ OddsShopper"
"Julio Jones","TEN","Receptions","Over","4.50","120.00","4.03","38 %","-16.0","Shop Odds @ OddsShopper"
"Nico Collins","HOU","Receptions","Over","2.50","-133.00","2.68","48 %","-16.0","Shop Odds @ OddsShopper"
"Devin Singletary","BUF","Receptions","Over","2.50","-125.00","2.54","47 %","-16.0","Shop Odds @ OddsShopper"
"Dawson Knox","BUF","Receptions","Over","3.50","-114.00","3.35","45 %","-16.0","Shop Odds @ OddsShopper"
"Jamison Crowder","NYJ","Receptions","Under","4.50","-160.00","4.83","52 %","-16.0","Shop Odds @ OddsShopper"
"Tee Higgins","CIN","Receptions","Over","4.50","-154.00","4.82","51 %","-16.0","Shop Odds @ OddsShopper"
"Travis Kelce","KC","Receptions","Over","5.50","-140.00","5.47","49 %","-16.0","Shop Odds @ OddsShopper"
"Laviska Shenault Jr.","JAX","Receptions","Under","3.50","-108.00","4.01","43 %","-17.0","Shop Odds @ OddsShopper"
"Nelson Agholor","NE","Receptions","Under","2.50","-135.00","2.76","48 %","-17.0","Shop Odds @ OddsShopper"
"Michael Pittman Jr.","IND","Receptions","Under","4.50","-125.00","4.95","46 %","-17.0","Shop Odds @ OddsShopper"
"Braxton Berrios","NYJ","Receptions","Over","3.50","155.00","3.02","32 %","-18.0","Shop Odds @ OddsShopper"
"Chris Godwin","TB","Receptions","Over","7.50","124.00","6.52","37 %","-18.0","Shop Odds @ OddsShopper"
"Austin Ekeler","LAC","Receptions","Over","4.50","115.00","4.23","38 %","-18.0","Shop Odds @ OddsShopper"
"CeeDee Lamb","DAL","Receptions","Over","5.50","100.00","5.03","41 %","-19.0","Shop Odds @ OddsShopper"
"Marquez Valdes-Scantling","GB","Receptions","Over","2.50","-149.00","2.65","48 %","-19.0","Shop Odds @ OddsShopper"
"Jared Cook","LAC","Receptions","Under","2.50","-110.00","3.12","43 %","-19.0","Shop Odds @ OddsShopper"
"Michael Gallup","DAL","Receptions","Over","4.50","130.00","3.83","35 %","-20.0","Shop Odds @ OddsShopper"
"Deebo Samuel","SF","Receptions","Under","4.50","-140.00","4.67","47 %","-20.0","Shop Odds @ OddsShopper"
"James O'Shaughnessy","JAX","Receptions","Under","3.50","-200.00","3.42","53 %","-21.0","Shop Odds @ OddsShopper"
"T.Y. Hilton","IND","Receptions","Under","2.50","-110.00","3.02","41 %","-22.0","Shop Odds @ OddsShopper"
"Mike Gesicki","MIA","Receptions","Under","4.50","-135.00","4.90","44 %","-23.0","Shop Odds @ OddsShopper"
"Jakobi Meyers","NE","Receptions","Under","4.50","-135.00","4.93","44 %","-23.0","Shop Odds @ OddsShopper"
"Chris Conley","HOU","Receptions","Over","1.50","-130.00","1.51","43 %","-24.0","Shop Odds @ OddsShopper"
"Diontae Johnson","PIT","Receptions","Over","6.50","-149.00","6.43","45 %","-25.0","Shop Odds @ OddsShopper"
"DJ Moore","CAR","Receptions","Under","4.50","-114.00","5.19","40 %","-25.0","Shop Odds @ OddsShopper"
"Tim Patrick","DEN","Receptions","Over","3.50","155.00","2.77","29 %","-27.0","Shop Odds @ OddsShopper"
"Donald Parham Jr.","LAC","Receptions","Over","1.50","110.00","1.33","33 %","-31.0","Shop Odds @ OddsShopper"
"Marvin Jones Jr.","JAX","Receptions","Under","3.50","100.00","4.28","34 %","-32.0","Shop Odds @ OddsShopper"
"Clyde Edwards-Helaire","KC","Receptions","Over","2.50","140.00","1.86","28 %","-32.0","Shop Odds @ OddsShopper"
"Tommy Tremble","CAR","Receptions","Over","1.50","-125.00","1.36","36 %","-36.0","Shop Odds @ OddsShopper"
"Sterling Shepard","NYG","Receptions","Under","3.50","130.00","5.06","28 %","-37.0","Shop Odds @ OddsShopper"
"Jalen Guyton","LAC","Receptions","Over","1.50","-161.00","1.37","38 %","-39.0","Shop Odds @ OddsShopper"
"Brandon Aiyuk","SF","Receptions","Over","4.50","110.00","3.48","27 %","-42.0","Shop Odds @ OddsShopper"
"Chase Claypool","PIT","Receptions","Over","4.50","140.00","3.31","24 %","-43.0","Shop Odds @ OddsShopper"
"Myles Gaskin","MIA","Receptions","Under","2.50","122.00","3.93","23 %","-49.0","Shop Odds @ OddsShopper"
