"Name","Team","Prop Name","Prop Type","Prop Line","Prop Odds","Projection","Expected Win","Expected ROI","Note"
"Nyheim Hines","IND","Receiving Yards","Under","17.50","-116.00","17.87","61 %","13.0","Shop Odds @ OddsShopper"
"Nick Westbrook-Ikhine","TEN","Receiving Yards","Over","34.50","-110.00","43.47","59 %","12.0","Shop Odds @ OddsShopper"
"Laviska Shenault Jr.","JAX","Receiving Yards","Over","35.50","-110.00","44.24","59 %","12.0","Shop Odds @ OddsShopper"
"Russell Gage","ATL","Receiving Yards","Under","57.50","-116.00","54.97","60 %","12.0","Shop Odds @ OddsShopper"
"Christian Kirk","ARI","Receiving Yards","Over","54.50","-110.00","64.73","58 %","11.0","Shop Odds @ OddsShopper"
"Amon-Ra St. Brown","DET","Receiving Yards","Over","49.50","-110.00","59.64","58 %","11.0","Shop Odds @ OddsShopper"
"Amari Cooper","DAL","Receiving Yards","Over","50.50","-114.00","59.84","59 %","11.0","Shop Odds @ OddsShopper"
"Michael Pittman Jr.","IND","Receiving Yards","Over","54.50","-110.00","64.23","58 %","10.0","Shop Odds @ OddsShopper"
"Rondale Moore","ARI","Receiving Yards","Over","30.50","-125.00","39.85","61 %","9.0","Shop Odds @ OddsShopper"
"Braxton Berrios","NYJ","Receiving Yards","Under","34.50","-115.00","34.72","58 %","9.0","Shop Odds @ OddsShopper"
"Darrel Williams","KC","Receiving Yards","Over","15.50","-125.00","21.64","61 %","9.0","Shop Odds @ OddsShopper"
"Keenan Allen","LAC","Receiving Yards","Under","77.50","-112.00","79.39","58 %","9.0","Shop Odds @ OddsShopper"
"C.J. Uzomah","CIN","Receiving Yards","Under","29.50","-118.00","28.60","59 %","8.0","Shop Odds @ OddsShopper"
"Jerry Jeudy","DEN","Receiving Yards","Under","55.50","-115.00","53.20","58 %","8.0","Shop Odds @ OddsShopper"
"Rob Gronkowski","TB","Receiving Yards","Over","53.50","-115.00","60.66","58 %","8.0","Shop Odds @ OddsShopper"
"Geoff Swaim","TEN","Receiving Yards","Under","20.50","-115.00","21.34","57 %","7.0","Shop Odds @ OddsShopper"
"Tim Patrick","DEN","Receiving Yards","Under","40.50","-130.00","38.07","60 %","7.0","Shop Odds @ OddsShopper"
"Marquez Valdes-Scantling","GB","Receiving Yards","Under","43.50","-116.00","42.79","57 %","7.0","Shop Odds @ OddsShopper"
"Tyreek Hill","KC","Receiving Yards","Over","77.50","-110.00","85.31","56 %","7.0","Shop Odds @ OddsShopper"
"Chris Godwin","TB","Receiving Yards","Over","75.50","-112.00","82.53","56 %","6.0","Shop Odds @ OddsShopper"
"Kenny Golladay","NYG","Receiving Yards","Over","34.50","-112.00","43.09","56 %","5.0","Shop Odds @ OddsShopper"
"Stefon Diggs","BUF","Receiving Yards","Over","70.50","-115.00","79.08","56 %","5.0","Shop Odds @ OddsShopper"
"Dawson Knox","BUF","Receiving Yards","Under","40.50","-125.00","38.01","58 %","5.0","Shop Odds @ OddsShopper"
"Kyle Pitts","ATL","Receiving Yards","Under","46.50","-110.00","48.52","55 %","5.0","Shop Odds @ OddsShopper"
"Josiah Deguara","GB","Receiving Yards","Over","15.50","-130.00","23.20","59 %","5.0","Shop Odds @ OddsShopper"
"Marquise Brown","BAL","Receiving Yards","Under","50.50","-110.00","49.84","55 %","5.0","Shop Odds @ OddsShopper"
"Mike Evans","TB","Receiving Yards","Over","59.50","-115.00","66.82","56 %","5.0","Shop Odds @ OddsShopper"
"Kendrick Bourne","NE","Receiving Yards","Over","35.50","-115.00","43.97","56 %","5.0","Shop Odds @ OddsShopper"
"Pat Freiermuth","PIT","Receiving Yards","Over","30.50","-110.00","37.25","55 %","4.0","Shop Odds @ OddsShopper"
"Tee Higgins","CIN","Receiving Yards","Under","65.50","-114.00","65.61","56 %","4.0","Shop Odds @ OddsShopper"
"Jonathan Taylor","IND","Receiving Yards","Under","20.50","-115.00","22.97","56 %","4.0","Shop Odds @ OddsShopper"
